"config","model","seconds","divergences","rhat_max","ess_bulk_min"
"rprintf","large_params_200k",41.62,0,NA,NA
"none","large_params_200k",43.32,0,NA,NA
"callback","large_params_200k",43.62,0,NA,NA
"rprintf","large_params_200k_8c",98.61,0,NA,NA
"callback","large_params_200k_8c",100.99,0,NA,NA
"none","large_params_200k_8c",103.85,0,NA,NA
"callback","eight_schools_nc",0.31,0,NA,NA
"none","eight_schools_nc",0.02,0,NA,NA
"rprintf","eight_schools_nc",0.03,0,NA,NA
"none","dogs",0.88,0,NA,NA
"callback","dogs",0.7,0,NA,NA
"rprintf","dogs",0.75,0,NA,NA
"rprintf","diamonds",12.42,0,NA,NA
"none","diamonds",11.99,0,NA,NA
"callback","diamonds",12.23,0,NA,NA
"callback","arma11",0.28,0,NA,NA
"none","arma11",0.04,0,NA,NA
"rprintf","arma11",0.04,0,NA,NA
"none","mesquite",0.27,0,NA,NA
"rprintf","mesquite",0.09,0,NA,NA
"callback","mesquite",0.09,0,NA,NA
"none","radon_hier_nc",17.1,0,NA,NA
"callback","radon_hier_nc",16.46,0,NA,NA
"rprintf","radon_hier_nc",15.8,0,NA,NA
